nu (cm^-1),absorbance
4.383558520999999928e+03,2.163878974896799590e-01
4.383559521000000132e+03,2.171613930305204276e-01
4.383560521000000335e+03,2.179264394042275399e-01
4.383561521000000539e+03,2.186832647990444023e-01
4.383562520999999833e+03,2.194317550678444029e-01
4.383563521000000037e+03,2.201723676644544436e-01
4.383564521000000241e+03,2.209055123192462111e-01
4.383565521000000444e+03,2.216316951053411421e-01
4.383566521000000648e+03,2.223514796391123927e-01
4.383567520999999942e+03,2.230655856504048795e-01
4.383568521000000146e+03,2.237747116299710903e-01
4.383569521000000350e+03,2.244796280073510231e-01
4.383570521000000554e+03,2.251811364374390612e-01
4.383571520999999848e+03,2.258800549852180151e-01
4.383572521000000052e+03,2.265772037441539932e-01
4.383573521000000255e+03,2.272733910793534040e-01
4.383574521000000459e+03,2.279694069002786427e-01
4.383575521000000663e+03,2.286659866770526794e-01
4.383576520999999957e+03,2.294127492260194523e-01
4.383577521000000161e+03,2.301125595678772118e-01
4.383578521000000364e+03,2.308148716590210370e-01
4.383579521000000568e+03,2.315202029012141671e-01
4.383580520999999862e+03,2.322290000778478025e-01
4.383581521000000066e+03,2.329416370373990908e-01
4.383582521000000270e+03,2.336584186662594154e-01
4.383583521000000474e+03,2.343795769083105995e-01
4.383584521000000677e+03,2.351052778607974902e-01
4.383585520999999972e+03,2.358356432592092489e-01
4.383586521000000175e+03,2.365706323444373982e-01
4.383587521000000379e+03,2.373103072755839982e-01
4.383588521000000583e+03,2.380546232651107597e-01
4.383589520999999877e+03,2.388035014423527391e-01
4.383590521000000081e+03,2.395568372855051420e-01
4.383591521000000284e+03,2.403145091833859270e-01
4.383592521000000488e+03,2.410763869335559029e-01
4.383593521000000692e+03,2.418423399674820840e-01
4.383594520999999986e+03,2.426122451179963668e-01
4.383595521000000190e+03,2.433859937583511546e-01
4.383596521000000394e+03,2.441634981446812458e-01
4.383597521000000597e+03,2.449446968371827849e-01
4.383598520999999892e+03,2.457295590713402811e-01
4.383599521000000095e+03,2.465180879932688252e-01
4.383600521000000299e+03,2.473103226780355990e-01
4.383601521000000503e+03,2.481063389012584663e-01
4.383602521000000706e+03,2.489062486357773996e-01
4.383603521000000001e+03,2.497101982860384650e-01
4.383604521000000204e+03,2.505183656991469832e-01
4.383605521000000408e+03,2.513308961385168905e-01
4.383606521000000612e+03,2.521481385539732778e-01
4.383607520999999906e+03,2.529702739494412156e-01
4.383608521000000110e+03,2.537975483595311665e-01
4.383609521000000314e+03,2.546302259187275263e-01
4.383610521000000517e+03,2.554685463146062485e-01
4.383611521000000721e+03,2.563127387625345199e-01
4.383612521000000015e+03,2.571630073770902469e-01
